Frame_ID,Pothole_ID,Area_cm2,Center_X,Center_Y
frame-0397,frame-0397_P1,211.9,279,312
frame-0398,frame-0398_P1,164.86,250,273
frame-0399,frame-0399_P1,332.05,267,293
frame-0400,frame-0400_P1,221.91,255,279
frame-0401,frame-0401_P1,263.49,249,268
frame-0402,frame-0402_P1,271.27,234,249
frame-0403,frame-0403_P1,173.57,159,139
frame-0404,frame-0404_P1,343.96,234,256
frame-0405,frame-0405_P1,292.17,238,275
frame-0406,frame-0406_P1,251.57,230,271
frame-0407,frame-0407_P1,162.91,270,344
frame-0408,frame-0408_P1,172.84,235,290
frame-7650,frame-7650_P1,211.16,326,362
frame-7651,frame-7651_P1,194.34,314,345
frame-7651,frame-7651_P2,158.05,562,249
frame-7652,frame-7652_P1,244.63,287,295
frame-7653,frame-7653_P1,231.22,932,285
frame-7653,frame-7653_P2,186.78,413,239
frame-7653,frame-7653_P3,321.99,251,214
frame-7654,frame-7654_P1,264.56,950,267
frame-7654,frame-7654_P2,160.26,750,309
frame-7654,frame-7654_P3,164.11,413,217
frame-7654,frame-7654_P4,309.4,227,174
frame-7655,frame-7655_P1,182.07,747,288
frame-7655,frame-7655_P2,312.45,962,242
frame-7655,frame-7655_P3,157.91,557,137
frame-7655,frame-7655_P4,346.68,207,143
frame-7656,frame-7656_P1,246.27,962,208
frame-7656,frame-7656_P2,213.18,193,111
frame-7657,frame-7657_P1,151.51,716,232
frame-7657,frame-7657_P2,336.17,973,166
frame-7657,frame-7657_P3,221.68,173,91
frame-7658,frame-7658_P1,189.01,405,456
frame-7658,frame-7658_P2,352.49,980,153
frame-7658,frame-7658_P3,276.22,750,197
frame-7658,frame-7658_P4,233.4,552,139
frame-7658,frame-7658_P5,167.45,390,103
frame-7658,frame-7658_P6,233.87,178,91
frame-7659,frame-7659_P1,219.44,384,451
frame-7659,frame-7659_P2,646.04,873,160
frame-7659,frame-7659_P3,211.61,548,164
frame-7659,frame-7659_P4,155.94,389,93
frame-7660,frame-7660_P1,151.45,337,411
frame-7660,frame-7660_P2,655.07,878,147
frame-7661,frame-7661_P1,261.84,993,117
frame-7661,frame-7661_P2,194.55,719,152
frame-8156,frame-8156_P1,188.98,500,115
frame-8157,frame-8157_P1,193.57,949,190
frame-8157,frame-8157_P2,237.69,519,117
frame-8158,frame-8158_P1,238.41,530,132
frame-8161,frame-8161_P1,174.18,641,411
frame-8161,frame-8161_P2,170.15,538,219
frame-8162,frame-8162_P1,223.55,546,262
frame-8163,frame-8163_P1,276.45,560,310
frame-8163,frame-8163_P2,159.51,948,286
frame-8164,frame-8164_P1,280.82,589,501
